Year,Rank,Fund,Return (%)
2013,1,260116,21.1616
2013,2,270006,6.2133
2013,3,161005,18.1756
2013,4,070002,14.2249
2013,5,163402,7.9303
2013,6,110011,9.6038
2013,7,040001,5.2381
2013,8,050001,-7.4024
2013,9,202002,5.0931
2013,10,377010,10.766
2014,1,260116,30.7357
2014,2,161005,25.659
2014,3,070002,14.9175
2014,4,377010,-0.9292
2014,5,110011,31.4384
2014,6,163402,36.2935
2014,7,270006,10.3599
2014,8,040001,14.6492
2014,9,202002,21.4193
2014,10,050001,23.2555
2015,1,163402,43.0614
2015,2,110011,25.6907
2015,3,260116,35.919
2015,4,161005,69.0925
2015,5,050001,6.3494
2015,6,202002,42.7404
2015,7,070002,67.3385
2015,8,040001,27.7352
2015,9,270006,44.128
2015,10,377010,51.657
2016,1,161005,-15.2609
2016,2,070002,-7.7334
2016,3,377010,-9.8537
2016,4,270006,-16.9511
2016,5,163402,-1.007
2016,6,202002,-11.4872
2016,7,260116,-12.908
2016,8,040001,-18.8709
2016,9,110011,8.2631
2016,10,050001,-9.3997
2017,1,110011,46.9195
2017,2,163402,25.151
2017,3,070002,3.1424
2017,4,050001,1.567
2017,5,377010,21.3351
2017,6,202002,19.1162
2017,7,260116,47.6566
2017,8,161005,27.7984
2017,9,270006,14.0065
2017,10,040001,4.4115
2018,1,260116,-26.345
2018,2,110011,-14.3804
2018,3,161005,-26.9269
2018,4,163402,-17.9234
2018,5,377010,-42.8058
2018,6,202002,-23.0689
2018,7,270006,-35.7533
2018,8,040001,-25.4646
2018,9,070002,-10.8698
2018,10,050001,-19.5374
2019,1,070002,52.365
2019,2,110011,65.8195
2019,3,163402,42.5681
2019,4,050001,45.9919
2019,5,202002,42.025
2019,6,040001,39.5982
2019,7,260116,51.1592
2019,8,161005,62.2096
2019,9,270006,51.4541
2019,10,377010,58.0146
2020,1,110011,84.2566
2020,2,161005,58.5627
2020,3,377010,47.7207
2020,4,070002,65.5992
2020,5,270006,54.9545
2020,6,260116,50.2348
2020,7,050001,40.1848
2020,8,163402,48.0507
2020,9,202002,59.4429
2020,10,040001,41.3212
2021,1,110011,-13.3946
2021,2,070002,-2.8065
2021,3,202002,2.6702
2021,4,161005,0.5022
2021,5,270006,14.9966
2021,6,260116,4.9473
2021,7,163402,3.6824
2021,8,377010,18.7118
2021,9,040001,28.3864
2021,10,050001,-3.292
2022,1,040001,-22.7053
2022,2,377010,-25.2078
2022,3,270006,-9.2151
2022,4,260116,-21.147
2022,5,163402,-21.7095
2022,6,202002,-18.0369
2022,7,161005,-23.9588
2022,8,070002,-13.0517
2022,9,050001,-16.5482
2022,10,110011,-14.3412
2023,1,270006,-25.1188
2023,2,070002,-16.98
2023,3,110011,-21.5477
2023,4,050001,-9.8299
2023,5,202002,-13.7467
2023,6,260116,-6.4623
2023,7,163402,-14.9613
2023,8,040001,-20.51
2023,9,161005,-9.9392
2023,10,377010,-18.5884
2024,1,260116,7.3468
2024,2,050001,9.7729
2024,3,161005,1.2528
2024,4,202002,5.3479
2024,5,163402,8.1881
2024,6,070002,0.6504
2024,7,377010,13.9948
2024,8,040001,2.4379
2024,9,110011,1.6775
2024,10,270006,-6.716
