Year,Rank,Fund,Max Drawdown (%)
2013,1,260116,-14.7189
2013,2,270006,-9.8397
2013,3,161005,-14.094
2013,4,070002,-9.712
2013,5,163402,-11.444
2013,6,110011,-10.4295
2013,7,040001,-10.2575
2013,8,050001,-19.0444
2013,9,202002,-10.6708
2013,10,377010,-11.7285
2014,1,260116,-15.3549
2014,2,161005,-12.7778
2014,3,070002,-12.2464
2014,4,377010,-18.6732
2014,5,110011,-8.6134
2014,6,163402,-6.7883
2014,7,270006,-15.7814
2014,8,040001,-12.8954
2014,9,202002,-12.0844
2014,10,050001,-7.8275
2015,1,163402,-28.683
2015,2,110011,-28.8308
2015,3,260116,-48.6082
2015,4,161005,-45.9258
2015,5,050001,-33.2879
2015,6,202002,-42.0946
2015,7,070002,-41.0919
2015,8,040001,-35.0006
2015,9,270006,-54.0854
2015,10,377010,-60.0654
2016,1,161005,-24.6117
2016,2,070002,-17.3709
2016,3,377010,-20.3774
2016,4,270006,-24.7758
2016,5,163402,-13.3046
2016,6,202002,-20.4518
2016,7,260116,-24.1312
2016,8,040001,-17.52
2016,9,110011,-15.1481
2016,10,050001,-16.6346
2017,1,110011,-7.1965
2017,2,163402,-6.7298
2017,3,070002,-13.8548
2017,4,050001,-7.0107
2017,5,377010,-13.715
2017,6,202002,-6.5857
2017,7,260116,-8.4483
2017,8,161005,-7.6
2017,9,270006,-9.7732
2017,10,040001,-9.4738
2018,1,260116,-32.5267
2018,2,110011,-29.3654
2018,3,161005,-31.3402
2018,4,163402,-24.8351
2018,5,377010,-44.7224
2018,6,202002,-28.1101
2018,7,270006,-37.3393
2018,8,040001,-29.2035
2018,9,070002,-18.3073
2018,10,050001,-26.2856
2019,1,070002,-6.5335
2019,2,110011,-8.5898
2019,3,163402,-9.8708
2019,4,050001,-10.4391
2019,5,202002,-9.5508
2019,6,040001,-9.8241
2019,7,260116,-10.9173
2019,8,161005,-11.4921
2019,9,270006,-11.2365
2019,10,377010,-12.2921
2020,1,110011,-15.7604
2020,2,161005,-16.8151
2020,3,377010,-16.6127
2020,4,070002,-13.0353
2020,5,270006,-16.3318
2020,6,260116,-15.6802
2020,7,050001,-11.6329
2020,8,163402,-13.1205
2020,9,202002,-15.4292
2020,10,040001,-12.6021
2021,1,110011,-28.4048
2021,2,070002,-19.2926
2021,3,202002,-20.666
2021,4,161005,-17.3699
2021,5,270006,-19.6227
2021,6,260116,-19.9968
2021,7,163402,-13.8412
2021,8,377010,-8.8624
2021,9,040001,-16.2704
2021,10,050001,-21.9328
2022,1,040001,-32.3126
2022,2,377010,-30.1116
2022,3,270006,-19.4771
2022,4,260116,-25.3697
2022,5,163402,-23.9912
2022,6,202002,-24.7103
2022,7,161005,-28.6136
2022,8,070002,-23.6261
2022,9,050001,-18.1372
2022,10,110011,-37.5778
2023,1,270006,-35.2216
2023,2,070002,-24.4908
2023,3,110011,-31.8918
2023,4,050001,-18.3928
2023,5,202002,-19.5962
2023,6,260116,-17.9421
2023,7,163402,-23.3626
2023,8,040001,-30.148
2023,9,161005,-19.8865
2023,10,377010,-27.4923
2024,1,260116,-15.4567
2024,2,050001,-9.52
2024,3,161005,-20.4404
2024,4,202002,-13.5292
2024,5,163402,-11.5792
2024,6,070002,-15.0745
2024,7,377010,-13.4338
2024,8,040001,-20.9342
2024,9,110011,-20.0204
2024,10,270006,-21.331
