Year,Rank,Fund,Sharpe Ratio
2013,1,260116,0.9186
2013,2,270006,0.3315
2013,3,161005,0.8702
2013,4,070002,0.8018
2013,5,163402,0.4843
2013,6,110011,0.5379
2013,7,040001,0.3258
2013,8,050001,-0.416
2013,9,202002,0.3001
2013,10,377010,0.592
2014,1,260116,1.6283
2014,2,161005,1.4466
2014,3,070002,0.9408
2014,4,377010,-0.0524
2014,5,110011,1.7494
2014,6,163402,2.5175
2014,7,270006,0.5537
2014,8,040001,1.0033
2014,9,202002,1.3895
2014,10,050001,1.6272
2015,1,163402,1.6956
2015,2,110011,0.766
2015,3,260116,0.8787
2015,4,161005,1.5788
2015,5,050001,0.1935
2015,6,202002,1.1602
2015,7,070002,1.8593
2015,8,040001,0.875
2015,9,270006,0.9132
2015,10,377010,1.0058
2016,1,161005,-0.5471
2016,2,070002,-0.3455
2016,3,377010,-0.4279
2016,4,270006,-0.544
2016,5,163402,-0.0641
2016,6,202002,-0.5112
2016,7,260116,-0.4778
2016,8,040001,-0.913
2016,9,110011,0.3932
2016,10,050001,-0.4992
2017,1,110011,3.4763
2017,2,163402,2.3893
2017,3,070002,0.2482
2017,4,050001,0.1513
2017,5,377010,1.416
2017,6,202002,1.7129
2017,7,260116,3.348
2017,8,161005,2.0706
2017,9,270006,0.9742
2017,10,040001,0.3885
2018,1,260116,-1.0997
2018,2,110011,-0.5307
2018,3,161005,-1.0795
2018,4,163402,-0.9125
2018,5,377010,-1.5816
2018,6,202002,-1.3414
2018,7,270006,-1.4901
2018,8,040001,-1.4595
2018,9,070002,-0.5202
2018,10,050001,-1.1456
2019,1,070002,3.1678
2019,2,110011,2.8651
2019,3,163402,2.4096
2019,4,050001,2.8283
2019,5,202002,2.5571
2019,6,040001,2.4815
2019,7,260116,2.5504
2019,8,161005,3.0424
2019,9,270006,2.4838
2019,10,377010,3.0462
2020,1,110011,3.3191
2020,2,161005,2.3907
2020,3,377010,2.0255
2020,4,070002,3.0534
2020,5,270006,2.4377
2020,6,260116,2.2166
2020,7,050001,1.8688
2020,8,163402,2.3069
2020,9,202002,2.5423
2020,10,040001,2.1167
2021,1,110011,-0.5888
2021,2,070002,-0.1461
2021,3,202002,0.1176
2021,4,161005,0.0258
2021,5,270006,0.6193
2021,6,260116,0.2019
2021,7,163402,0.2375
2021,8,377010,1.1793
2021,9,040001,1.2465
2021,10,050001,-0.1548
2022,1,040001,-1.0083
2022,2,377010,-1.1401
2022,3,270006,-0.3718
2022,4,260116,-0.9127
2022,5,163402,-1.0604
2022,6,202002,-0.8786
2022,7,161005,-1.1454
2022,8,070002,-0.6927
2022,9,050001,-0.9278
2022,10,110011,-0.4233
2023,1,270006,-1.3522
2023,2,070002,-1.4355
2023,3,110011,-1.0057
2023,4,050001,-0.8982
2023,5,202002,-1.3994
2023,6,260116,-0.5134
2023,7,163402,-1.0416
2023,8,040001,-1.4045
2023,9,161005,-0.7967
2023,10,377010,-1.0484
2024,1,260116,0.3809
2024,2,050001,0.5683
2024,3,161005,0.0536
2024,4,202002,0.3464
2024,5,163402,0.3946
2024,6,070002,0.0336
2024,7,377010,0.5468
2024,8,040001,0.0866
2024,9,110011,0.0694
2024,10,270006,-0.317
