,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019,2018-2020,2019-2021,2020-2022,2021-2023,2022-2024
040001,,,0.24798431829699696,0.5411850058644652,0.188114964208971,0.08202032427952188,-0.368624812219027,0.08640181913997114,0.4704479263654642,1.5328304922569145,0.40241289697519256,-0.21117432633823097,-0.3706062847558804
050001,,,0.16475139517569737,0.21378249400356175,0.18760182917294688,-0.021373638357682356,-0.2595831662341943,0.19309630281308054,0.6467361725142682,0.9792103686603799,0.13135517227376403,-0.2722860724854195,-0.1739742950318176
070002,,,0.38568304199431624,1.1965593625706732,0.7742994541315795,0.59249471867444,-0.15178310111209758,0.40070783269228505,1.2488908166401016,1.4523397905367186,0.39944669062232196,-0.29841421400904,-0.27346051204103605
110011,,,0.515943693795514,0.810719379331615,0.7885704325954652,0.9992315316264078,0.36186183252058757,1.0858748167656205,1.615964349654655,1.646086029855884,0.3669107896993422,-0.4180001207963341,-0.316713928778667
161005,,,0.5782868007890605,1.5109933069848736,0.8005348793835534,0.8311908695278507,-0.20865294725660544,0.5148149144196339,0.8794690968879695,1.5849572169985793,0.21178569390211743,-0.31172757049604827,-0.3065875302689217
163402,,,0.5512146904529736,1.104461903981417,0.9301995688989491,0.7723994597898656,0.016854238520569442,0.46445655328369284,0.7324171307095699,1.18845579912684,0.20177814859292198,-0.3097113897904309,-0.2797133035056806
202002,,,0.2686762890079726,0.8214146993210181,0.5340534610367773,0.504955198530799,-0.18889267633147155,0.3014787525053022,0.7420939239235109,1.324953540137673,0.34173886952310495,-0.27416347145432796,-0.25523363966497437
270006,,,0.2572167009873607,0.6894223383172615,0.3209713236292677,0.36462059687363557,-0.39170487017283495,0.10933156793434406,0.5077730295938219,1.6987969563575556,0.6177185117314294,-0.21824383203251074,-0.3658477439100566
377010,,,0.01822770287946196,0.6642340785057554,0.35442771129197226,0.6588104528923153,-0.37441544117101444,0.09656791327823,0.33502870140889107,1.770974898096433,0.31156949110765075,-0.27717026339654804,-0.30589185951307485
260116,,,1.0868595273194428,1.1529760848621682,0.547577805917,0.7478779501192083,-0.05281846845180449,0.6439538911128357,0.6726585274409811,1.3832856095998731,0.2432537588088477,-0.22593758178907664,-0.2082395074877852
SHCOMP,,,0.47118730686579435,0.5600424692338504,0.4672287925282306,0.022318590626617896,-0.2949701980101943,-0.016916214385773398,0.0502094472747292,0.45867294525585867,0.013135207117882075,-0.14329633956940224,-0.14623834730436513
