Period,Rank,Fund,Max Drawdown (%)
2012-07,1,260116,-11.5422
2012-07,2,070002,-13.458
2012-07,3,270006,-14.1196
2012-07,4,161005,-17.9188
2012-07,5,163402,-12.8413
2012-07,6,110011,-12.1682
2012-07,7,040001,-10.5722
2012-07,8,050001,-12.7964
2012-07,9,202002,-13.9418
2012-07,10,377010,-18.1237
2013-01,1,260116,-14.7189
2013-01,2,110011,-10.4295
2013-01,3,163402,-11.444
2013-01,4,040001,-10.2575
2013-01,5,050001,-19.0444
2013-01,6,161005,-14.094
2013-01,7,270006,-9.8397
2013-01,8,202002,-10.6708
2013-01,9,070002,-7.5929
2013-01,10,377010,-10.1525
2013-07,1,260116,-11.0128
2013-07,2,070002,-9.712
2013-07,3,110011,-10.0287
2013-07,4,161005,-11.189
2013-07,5,202002,-9.3414
2013-07,6,040001,-9.1914
2013-07,7,270006,-8.9016
2013-07,8,163402,-7.4679
2013-07,9,377010,-11.7285
2013-07,10,050001,-7.0634
2014-01,1,161005,-12.7778
2014-01,2,377010,-15.9764
2014-01,3,163402,-6.7883
2014-01,4,270006,-15.7814
2014-01,5,040001,-12.8954
2014-01,6,260116,-15.3549
2014-01,7,202002,-12.0844
2014-01,8,050001,-7.8275
2014-01,9,070002,-12.2464
2014-01,10,110011,-8.6134
2014-07,1,163402,-4.272
2014-07,2,040001,-6.9227
2014-07,3,070002,-6.6909
2014-07,4,110011,-6.8078
2014-07,5,202002,-6.0065
2014-07,6,161005,-10.7545
2014-07,7,050001,-5.54
2014-07,8,270006,-8.2665
2014-07,9,260116,-4.4923
2014-07,10,377010,-7.8229
2015-01,1,260116,-25.6513
2015-01,2,110011,-10.6128
2015-01,3,163402,-18.6998
2015-01,4,161005,-23.5277
2015-01,5,050001,-13.4533
2015-01,6,202002,-24.8291
2015-01,7,270006,-31.6466
2015-01,8,070002,-27.9678
2015-01,9,040001,-15.804
2015-01,10,377010,-34.8203
2015-07,1,377010,-39.3056
2015-07,2,070002,-20.5963
2015-07,3,161005,-31.2852
2015-07,4,260116,-31.3175
2015-07,5,270006,-34.1088
2015-07,6,202002,-26.5374
2015-07,7,163402,-13.5074
2015-07,8,110011,-20.8322
2015-07,9,040001,-24.2346
2015-07,10,050001,-24.1228
2016-01,1,163402,-13.3046
2016-01,2,202002,-20.4518
2016-01,3,161005,-24.6117
2016-01,4,070002,-17.3709
2016-01,5,040001,-17.52
2016-01,6,270006,-24.7758
2016-01,7,110011,-15.1481
2016-01,8,050001,-16.6346
2016-01,9,260116,-24.1312
2016-01,10,377010,-20.3774
2016-07,1,110011,-5.622
2016-07,2,070002,-10.1399
2016-07,3,163402,-3.695
2016-07,4,377010,-7.3287
2016-07,5,202002,-5.0843
2016-07,6,050001,-5.0951
2016-07,7,161005,-5.8638
2016-07,8,040001,-7.2908
2016-07,9,270006,-8.1637
2016-07,10,260116,-7.6431
2017-01,1,110011,-2.362
2017-01,2,163402,-6.7298
2017-01,3,260116,-3.558
2017-01,4,050001,-6.3979
2017-01,5,377010,-4.3889
2017-01,6,202002,-5.7964
2017-01,7,270006,-9.7732
2017-01,8,161005,-5.8115
2017-01,9,070002,-13.8548
2017-01,10,040001,-5.9295
2017-07,1,110011,-7.1965
2017-07,2,260116,-8.4483
2017-07,3,377010,-13.715
2017-07,4,161005,-7.6
2017-07,5,202002,-6.5857
2017-07,6,163402,-5.6413
2017-07,7,050001,-7.0107
2017-07,8,270006,-7.6948
2017-07,9,040001,-9.4738
2017-07,10,070002,-8.8665
2018-01,1,260116,-17.7971
2018-01,2,163402,-15.3953
2018-01,3,110011,-12.9302
2018-01,4,161005,-12.981
2018-01,5,070002,-10.6968
2018-01,6,270006,-22.5531
2018-01,7,202002,-14.4139
2018-01,8,040001,-19.3943
2018-01,9,377010,-21.0983
2018-01,10,050001,-16.462
2018-07,1,110011,-25.7271
2018-07,2,070002,-18.3073
2018-07,3,161005,-26.2845
2018-07,4,202002,-19.4023
2018-07,5,163402,-16.4149
2018-07,6,260116,-21.4062
2018-07,7,050001,-15.8389
2018-07,8,040001,-14.2069
2018-07,9,377010,-33.5068
2018-07,10,270006,-23.9236
2019-01,1,050001,-10.4391
2019-01,2,163402,-9.8708
2019-01,3,070002,-4.8219
2019-01,4,040001,-9.8241
2019-01,5,202002,-9.5508
2019-01,6,110011,-8.5688
2019-01,7,260116,-10.9173
2019-01,8,270006,-11.2365
2019-01,9,161005,-11.4921
2019-01,10,377010,-12.2921
2019-07,1,110011,-8.5898
2019-07,2,161005,-6.6985
2019-07,3,070002,-6.5335
2019-07,4,260116,-7.5148
2019-07,5,270006,-4.2885
2019-07,6,377010,-6.0104
2019-07,7,163402,-5.1875
2019-07,8,040001,-4.5711
2019-07,9,050001,-3.6288
2019-07,10,202002,-4.0943
2020-01,1,377010,-16.6127
2020-01,2,202002,-15.4292
2020-01,3,050001,-11.6329
2020-01,4,161005,-16.8151
2020-01,5,270006,-16.3318
2020-01,6,070002,-13.0353
2020-01,7,260116,-15.6802
2020-01,8,163402,-13.1205
2020-01,9,110011,-15.7604
2020-01,10,040001,-12.6021
2020-07,1,070002,-8.3299
2020-07,2,202002,-9.2443
2020-07,3,161005,-7.0775
2020-07,4,110011,-8.3414
2020-07,5,270006,-6.873
2020-07,6,260116,-7.0554
2020-07,7,377010,-7.2145
2020-07,8,163402,-5.7504
2020-07,9,050001,-7.9879
2020-07,10,040001,-6.5695
2021-01,1,110011,-23.9973
2021-01,2,040001,-16.2704
2021-01,3,270006,-19.6227
2021-01,4,260116,-19.9968
2021-01,5,161005,-16.4073
2021-01,6,163402,-12.192
2021-01,7,377010,-7.196
2021-01,8,070002,-19.2926
2021-01,9,202002,-20.666
2021-01,10,050001,-19.9683
2021-07,1,377010,-7.9241
2021-07,2,070002,-13.2531
2021-07,3,202002,-11.1738
2021-07,4,040001,-10.5882
2021-07,5,270006,-11.5247
2021-07,6,161005,-10.3814
2021-07,7,050001,-11.5761
2021-07,8,163402,-6.6725
2021-07,9,260116,-9.2034
2021-07,10,110011,-14.3383
2022-01,1,040001,-32.3126
2022-01,2,270006,-19.4771
2022-01,3,377010,-26.2308
2022-01,4,260116,-25.3697
2022-01,5,163402,-23.9912
2022-01,6,161005,-26.1976
2022-01,7,202002,-24.7103
2022-01,8,050001,-18.1372
2022-01,9,110011,-27.1933
2022-01,10,070002,-23.6261
2022-07,1,270006,-18.6822
2022-07,2,110011,-32.6146
2022-07,3,050001,-13.0981
2022-07,4,260116,-19.7376
2022-07,5,202002,-15.3502
2022-07,6,377010,-22.917
2022-07,7,040001,-17.1962
2022-07,8,070002,-11.4861
2022-07,9,161005,-19.3208
2022-07,10,163402,-12.7021
2023-01,1,070002,-11.6979
2023-01,2,110011,-22.3088
2023-01,3,163402,-10.1268
2023-01,4,050001,-9.4277
2023-01,5,270006,-20.5013
2023-01,6,202002,-8.5839
2023-01,7,161005,-10.3842
2023-01,8,040001,-15.8652
2023-01,9,260116,-12.2393
2023-01,10,377010,-13.3135
2023-07,1,377010,-23.8661
2023-07,2,050001,-13.9562
2023-07,3,260116,-12.4307
2023-07,4,163402,-18.6423
2023-07,5,161005,-14.4386
2023-07,6,202002,-14.4275
2023-07,7,070002,-16.854
2023-07,8,040001,-20.1133
2023-07,9,270006,-23.9535
2023-07,10,110011,-24.3568
2024-01,1,260116,-6.8874
2024-01,2,161005,-11.2392
2024-01,3,050001,-8.6547
2024-01,4,110011,-11.5909
2024-01,5,202002,-7.9364
2024-01,6,070002,-12.0409
2024-01,7,040001,-20.9342
2024-01,8,163402,-9.8829
2024-01,9,270006,-11.1892
2024-01,10,377010,-11.464
2024-07,1,260116,-11.9271
2024-07,2,050001,-9.1118
2024-07,3,377010,-11.8877
2024-07,4,163402,-11.5792
2024-07,5,202002,-8.1864
2024-07,6,161005,-13.0532
2024-07,7,110011,-10.7678
2024-07,8,070002,-8.9121
2024-07,9,270006,-12.4818
2024-07,10,040001,-11.4926
